Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Running,21-09-19 17:41,FALSE,Santiago Running,4.01,546,0:35:48,150,173,4.1,163,181,8:56,7:45,79,118,1.11,0,0,0,0,0,0:00,86,0:00,No,00:05.2,5,0
Treadmill Running,21-09-19 9:05,FALSE,Treadmill Running,1.04,126,09:41.2,132,143,2.1,159,163,9:17,8:49,--,--,1.09,0,0,0,0,0,0:00,75.2,0:00,No,00:23.6,2,0
Elliptical,19-09-19 8:22,FALSE,Elliptical,0,28,07:27.8,78,103,0.1,96,133,--,--,--,--,0,0,0,0,0,0,0:00,78.8,0:00,No,00:00.0,1,0
Treadmill Running,19-09-19 7:31,FALSE,Treadmill Running,0.89,112,07:27.5,145,157,2.3,169,179,8:25,6:27,--,--,1.13,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Elliptical,17-09-19 7:10,FALSE,Elliptical,0,184,0:18:45,116,136,1.7,74,148,--,--,--,--,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Running,14-09-19 18:29,FALSE,Santiago Running,0,--,00:00.8,124,124,--,--,--,7:55,19:42,--,--,0,0,0,0,0,0,0:00,91.4,0:00,No,00:00.0,1,0
Running,14-09-19 17:43,FALSE,Santiago Running,4.51,659,0:41:32,154,178,4.6,160,182,9:12,7:46,105,121,1.09,0,0,0,0,0,0:00,91.4,0:00,No,04:55.9,5,0
Treadmill Running,12-09-19 9:36,FALSE,Treadmill Running,0.69,85,06:34.2,129,141,1.6,141,175,9:32,6:45,--,--,1.19,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Treadmill Running,11-09-19 7:22,FALSE,Treadmill Running,0.88,105,06:40.8,152,161,2.3,163,175,7:37,6:38,--,--,1.3,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Running,09-09-19 18:58,FALSE,Santiago Running,0.57,62,04:34.8,134,157,1.5,155,177,8:03,6:56,39,49,1.29,0,0,0,0,0,0:00,84.2,0:00,No,00:00.0,1,0
Running,08-09-19 6:36,FALSE,Running,0.57,74,05:22.7,134,147,1.8,146,175,9:31,8:49,36,39,1.16,0,0,0,0,0,0:00,84.2,0:00,No,00:00.0,1,0
Running,03-09-19 16:09,FALSE,Kansas City Running,0.26,33,02:41.3,126,144,0.7,131,184,10:14,7:05,7,--,1.2,0,0,0,0,0,0:00,91.4,0:00,No,00:00.0,1,0
Running,03-09-19 9:26,FALSE,Kansas City Running,2.01,275,0:17:52,147,158,3.2,167,175,8:54,7:42,108,--,1.08,0,0,0,0,0,0:00,84.2,0:00,No,00:04.0,3,0
Cycling,29-08-19 15:41,FALSE,Washington Cycling,1.02,64,0:11:45,90,121,0.3,--,--,5.2,16.6,66,85,0,0,0,0,0,0,0:00,84.2,0:00,No,00:00.0,1,0
Cycling,27-08-19 22:13,FALSE,Washington Cycling,4.36,191,0:43:16,84,111,0.4,--,--,6,15.7,92,118,0,0,0,0,0,0,0:00,78.8,0:00,No,00:00.0,1,0
Cycling,27-08-19 10:40,FALSE,Washington Cycling,4.11,171,0:33:47,89,113,0.4,--,--,7.3,14.4,141,66,0,0,0,0,0,0,0:00,78.8,0:00,No,00:00.0,1,0
Cycling,26-08-19 21:29,FALSE,Washington Cycling,2.43,128,0:26:37,86,116,0.3,--,--,5.5,19.3,79,115,0,0,0,0,0,0,0:00,78.8,0:00,No,00:00.0,1,0
Cycling,26-08-19 20:46,FALSE,Washington Cycling,0.84,56,06:53.4,104,125,0.4,--,--,7.3,11.4,49,7,0,0,0,0,0,0,0:00,77,0:00,No,00:00.0,1,0
Cycling,26-08-19 18:30,FALSE,Washington Cycling,0.78,26,04:53.8,87,95,0.1,--,--,9.5,24.4,26,43,0,0,0,0,0,0,0:00,78.8,0:00,No,00:00.0,1,0
Cycling,26-08-19 17:24,FALSE,Washington Cycling,0.95,47,07:09.0,96,107,0.2,--,--,8,17.9,49,26,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Cycling,26-08-19 11:31,FALSE,Washington Cycling,0.44,27,04:28.0,91,112,0.1,--,--,5.9,19.1,16,13,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Cycling,26-08-19 9:42,FALSE,Washington Cycling,2.72,122,0:23:55,88,116,0.3,--,--,6.8,21.8,102,105,0,0,0,0,0,0,0:00,77,0:00,No,00:00.0,1,0
Cycling,26-08-19 9:21,FALSE,Washington Cycling,0.71,21,04:44.2,82,94,0.1,--,--,9,16.1,26,36,0,0,0,0,0,0,0:00,77,0:00,No,00:00.0,1,0
Cycling,26-08-19 8:05,FALSE,Washington Cycling,0.41,20,03:32.3,90,99,0.1,--,--,6.9,13.3,36,7,0,0,0,0,0,0,0:00,75.2,0:00,No,00:00.0,1,0
Cycling,25-08-19 22:58,FALSE,Washington Cycling,2.25,82,0:17:45,84,105,0.2,--,--,7.6,15.6,72,43,0,0,0,0,0,0,0:00,75.2,0:00,No,00:00.0,1,0
Cycling,25-08-19 14:59,FALSE,Washington Cycling,1.87,69,0:11:41,92,109,0.2,--,--,9.6,20,56,72,0,0,0,0,0,0,0:00,78.8,0:00,No,00:00.0,1,0
Cycling,25-08-19 11:40,FALSE,Washington Cycling,0.72,26,06:59.4,76,100,0.1,--,--,6.2,11.5,33,--,0,0,0,0,0,0,0:00,84.2,0:00,No,00:00.0,1,0
Cycling,25-08-19 10:44,FALSE,Washington Cycling,2.43,110,0:20:06,90,113,0.3,--,--,7.2,18.2,20,115,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
